,primary_code,related_code,related_type,importance
11636,CC00500117,CC001007,M,4
11637,CC00500117,CC001006,M,4
11638,FP002020,FP002008,M,4
11639,HA001002,CR003,D,3
11640,HA001002,CR005,D,2
11641,HA001002,HA001005,M,4
11642,HA001002,PS00500308,T,4
11643,ST004,CG005005,P,3
11644,CP002,EC001,M,4
11645,CP002,CP001,P,4
11646,CP001,CP002,M,4
11647,CP001,CC001009,M,3
11648,CP001,EC001,M,4
11649,PP001004,ST004,D,3
11650,HA007006,EC001,M,3
11651,HA007006,EC002003,T,4
11652,CG001,CC001008,M,3
11653,CC001008,CG001,P,3
11654,CG001,CC001009,M,2
11655,CG001,CG005001,M,4
11656,CG001,MM004002,M,3
11657,MM004002,CG001,P,3
11658,CC001008,CG005005,P,3
11659,MM004002,CM001001,P,3
11660,MM004002,FA00800802,D,4
11661,MM004002,MM004003,T,4
11662,MM004002,CT001,P,3
11663,MM004002,CM001005,P,3
11664,PP001004,CC001008,M,4
11665,CC001008,PP001004,P,2
11666,PP001004,CC001009,M,4
11667,PP001004,CR005,D,2
11668,PP001004,CR003,D,3
11669,PP001004,CR004,D,3
11670,PP001004,CR007010,D,4
11671,PP001004,PF002003,M,3
11672,CC001008,LP001013,P,3
11673,FA002013,PS002,P,4
11674,FA002013,FA00300109,P,4
11675,FA002013,CM001001,M,4
11676,CC00500117,CM001005,P,3
11677,FA002013,MM001,M,3
11678,FA002013,MM004002,M,2
11679,MM004002,FA002013,P,3
11680,FA002013,MM018,M,4
11681,FA002013,FA00300101,P,4
11682,FA002013,FA00300102,P,4
11683,FA002013,FA00300110,P,4
11684,EG003,CC005001,P,4
11685,MM00900202,CC005001,P,3
11686,CC001008,CC005001,M,2
11687,FP00100101,FP00100110,P,4
11688,FP00100101,FP001007,M,4
11689,FP002020,FP00100110,M,3
11690,FP00100101,CC003003,M,4
11691,FP00100101,CC003004,M,2
11692,FP00100101,BE002,P,2
11693,FP00100101,FP001008,P,3
11694,FP00100101,FP002020,P,4
11695,FP002020,FP00100101,M,4
11696,PH002010,FA007089,A,4
11697,FP001,FA006009,A,4
11698,FA006009,FP001,P,4
11699,FA00600803,MM0090010102,P,4
11700,MM017,MM004003,T,4
11701,MM017,CC005001,P,4
11702,HC002009,CC005001,M,1
11703,LP001004,CG005001,M,4
11704,HC002006,PH002004,M,4
11705,HC002009,CC001012,M,4
11706,CS001003,CG005005,M,3
11707,MM009001,FA006008,A,4
11708,MM017,FA00800809,D,4
11709,MM017,CC00500117,P,3
11710,PH00200415,PP001001,P,4
11711,MM017,HC001008,P,3
11712,CC00500117,MM017,M,2
11713,FP001007,FP00100101,P,4
11714,FP001007,FP00100107,P,4
11715,LP001004,CC001009,M,4
11716,FA007065,CC001009,M,2
11717,FA007065,FA007066,M,4
11718,FA007065,MM001,M,3
11719,FA007065,MM018,M,4
11720,FA007065,FA005001,P,4
11721,FA007065,FA006009,P,4
11722,EG001,FA007066,M,2
11723,FA006009,FA007065,A,4
11724,MM009001,FA00300108,T,4
11725,FA007064,MM004003,P,2
11726,ST004,PP001004,P,4
11727,FA006011,MM001,M,2
11728,FA006011,MM018,M,4
11729,CC001015,MM00900202,M,4
11730,CC001015,PF001001,M,4
11731,CC001015,AC00200201,P,4
11732,CC001015,CC00500117,P,3
11733,MM00900202,CC001015,P,2
11734,CC00500117,CC001015,M,2
11735,LP001007,PF002001,M,4
11736,ST003,FP002,P,4
11737,FP002,ST003,D,4
11738,BE005,ST003003,D,4
11739,FP002020,ST003002,D,4
11740,ST002,FP002,P,4
11741,ST003,FP001,P,4
11742,FP002,ST002,D,4
11743,FP001,ST003,D,4
11744,FP002020,ST00200201,D,4
11745,EG003,EG002,T,4
11746,EG002,EG003,P,4
11747,EG003,EG004,T,4
11748,EG002,AC002002,P,4
11749,MM00900202,CC003003,P,3
11750,EG004,EG003,P,4
11751,EG001,MM018,M,4
11752,CC001008,CC001012,M,4
11753,FA006009,FA006019,M,4
11754,FA006019,FA006009,P,2
11755,AC00100802,MM00100307,M,4
11756,AC00100802,MM0180010102,M,3
11757,FA006019,FA006021,P,4
11758,FA006019,FA006020,P,4
11759,FA006019,FA006010,P,3
11760,CC00100620,CC00500148,P,4
11761,CC00100620,CC0010061106,M,4
11762,CC00100620,CC0010060201,M,3
11763,CC00100620,CC0010060103,M,1
11764,CC00100620,CC0010060202,M,3
11765,CC00100620,CC001006020902,M,2
11766,HA00100435,EC00100601,M,4
11767,EE001011,EC0010200101,M,3
11768,EE001011,EC0010200102,M,4
11769,EE001011,MM00100311,M,3
11770,EE001011,IT0010031102,P,4
11771,EE001011,IT00100302,P,2
11772,EE001014,SE002019,M,4
11773,EE00100904,EC0010060101,M,2
11774,EE00100904,EC001016,M,2
11775,EE001014,EC0010200101,M,3
11776,EE001014,FA00400403,P,2
11777,EC0010200101,EE001014,P,4
11778,FA00706203,FA0070101903,P,4
11779,FA0070101903,FA00706203,M,4
11780,PS0020100301,FA0070300503,P,3
11781,FP00200806,PH00100203,P,1
11782,FP00200806,FP00100801,M,4
11783,FP00200806,FA00706419,A,4
11784,MM001001050101,CT001005,P,3
11785,MM001001050101,CT001008,P,4
11786,MM001001050101,FA00500204,P,3
11787,MM001001050101,MM00100307,M,4
11788,FA00706203,FA00706201,P,4
11789,MM001001050101,EC0010010201,P,3
11790,EE001014,IT00100311,P,4
11791,FA007089,FA007002,M,3
11792,FA007089,EE0010011,M,2
11793,FA007089,FA007013,M,4
11794,FA007089,MM018001,M,4
11795,FA007089,FA007005,M,2
11796,CG001,CR003,D,3
11797,EC001020,HW001012,P,2
11798,EC001020,EC0010050703,M,4
11799,FP001,CC003,M,4
11800,FP001,BE005,P,2
11801,FP001,ST002001,D,4
11802,FP001007,FP00100303,P,2
11803,BE005,FP001,M,4
11804,CC001008,CG005,P,4
11805,CC001008,HP001,P,3
11806,CT003,CC001,M,4
11807,CT003,PF002,M,4
11808,LP001004,BT008001,D,4
11809,BE005,ST002003,D,4
11810,CC001007,FA008008011,D,4
11811,CC001006,PH002011,P,3
11812,MM017,FA001011,P,3
11813,IT00100301,EE00100512,M,3
11814,MM00900202,FA007015,A,4
11815,FA007089,PH00200104,P,2
11816,FA007089,PH00200109,P,2
11817,FA007089,PH00200110,P,2
11818,FA007089,PH00200111,P,2
11819,FA007089,PH00200112,P,2
11820,FA007089,PH00200113,P,2
11821,FA007089,PH00200115,P,2
11822,FA007089,PH00200117,P,2
11823,FA007089,PH00200121,P,2
11824,FA007089,PH00200114,P,2
11825,FA007089,PH00200105,P,2
11826,FA007089,PH00200106,P,2
11827,FA007089,PH00200116,P,2
11828,TR00800204,EG003006,P,3
11829,TR00800204,EG00200301,P,3
11830,MM009001,TR00800202,T,4
11831,TR00800204,CC003003,P,3
11832,FP001,CS007001,D,3
11833,BE005,CS007,D,4
11834,EE00101303,CG0050011,P,2
11835,FA002013,FA00300111,P,4
11836,FA002013,FA00303,P,4
11837,PH002010,PH00302,T,3
11838,MM00900202,FA00300106,T,4
11839,MM009001,EE001001121,A,4
11840,FA0070101903,FA00706807,P,2
11841,EG001,EC003009,D,4
11842,BT003,TR001,T,4
11843,EG004,UT003,P,4
11844,EG003,CC003003,P,3
11845,EG002,CM001001,P,3
11846,FA006019,FA00700402,M,4
11847,FA006019,FA006011,P,4
11848,FA006019,FA007048,P,3
11849,FA006019,FA006015,P,2
11850,FA006019,FA006022,P,2
11851,FA006011,FA006019,M,4
11852,AC001004,CC0010061403,M,2
11853,CS001003,HP001001,M,3
11854,CS001003,CS004006,T,4
11855,CS001003,PS005006,T,4
11856,ST004,FP002010,P,3
11857,EG003,UT002008,P,3
11858,SS001015,SS00101302,P,3
11859,FP002020,FP00100107,M,2
11860,FP002020,FP002010,M,3
11861,FP002020,CS007001,D,3
11862,FP002020,PS00800113,T,3
11863,FP002020,CR011,D,1
11864,FP002020,CR005,D,2
11865,FP002020,CR003,D,3
11866,FP002020,CR004,D,3
11867,ST004,FP002020,P,4
11868,PH002010,PH002004,M,4
11869,PH002010,PH002007,T,4
11870,PH002010,PH003012,T,4
11871,SS001015,HW001028,M,4
11872,SS001015,HW001029,M,4
11873,SS001015,SS001011,P,4
11874,SS001015,SS001018,P,3
11875,SS001015,SS00100502,P,3
11876,HW001028,SS001015,P,4
11877,IT002,IT001004,T,4
11878,SS001011,SS001015,T,4
11879,ST004,HA003001,P,3
11880,ST004,HA001004,P,2
11881,ST004,HA001007,P,2
11882,FA002013,FA00300104,P,4
11883,ST004,HC001013,P,2
11884,ST004,HA001008,P,2
11885,ST004,HP001002,P,1
11886,HA001002,CR011,D,1
11887,CG001,CR011,D,1
11888,MM009001,UT002,P,4
11889,PS00500306,LP001006,P,2
11890,MM009001,MM00900202,P,4
11891,MM009001,FA00800803,D,4
11892,MM009001,TR00300101,T,4
11893,MM00900202,MM009001,M,4
11894,HA007006,FA00706411,A,4
11895,TR00800204,FA0060110201,A,4
11896,TR00800204,AC00300302,A,4
11897,FA002013,FA00800811,D,4
11898,FP00200806,FP0020080201,P,4
11899,PH00200415,CC0010061101,P,2
11900,PH0010010205,HC00300303,D,4
11901,PH0010010206,HC00300303,D,4
11902,PH0010010205,PH003008,M,2
11903,PH0010010206,PH003008,M,2
11904,PH0010010205,PH00300101,T,4
11905,PH0010010206,PH00300101,T,4
11906,PH0010010205,PH00302,T,3
11907,PH0010010206,PH00302,T,3
11908,PH00200415,FP0010010705,M,3
11909,PH00200415,FP001001070103,M,3
11910,PH00200415,PH002006,M,4
11911,FP00200806,PH002005,M,3
11912,BE005,PS00500506,T,4
11913,PH00200415,PP001003,P,3
11914,EG003,CR009009,D,4
11915,PH00200415,PP00100406,P,2
11916,EE00100904,FA00700202,M,3
11917,MM001001050101,FA00400123,P,3
11918,CC001006,PS00800109,T,4
11919,CC001007,PS00800109,T,4
11920,FA007065,PS00800102,T,4
11921,TR002,ME001008,T,4
11922,EE00101303,WC00100201,P,4
11923,HA001002,HA001010,F,4
11924,HA007006,HA001010,F,4
11925,TR002001,AC00300302,A,4
11926,FA007065,PS0050042401,T,4
11927,FA007064,PS0050042401,T,4
11928,FA007065,PS00500310,T,4
11929,FA007064,PS00500310,T,4
11930,FA0070101903,FA0040010708,M,4
11931,PS0020100301,MM018001,P,4
11932,MM001001050101,HA00100601,P,3
11933,TR002001,TR00100502,T,4
11934,CC001007,CC001006,P,3
11935,PH00200415,CC005002010202,P,3
11936,PH00200415,CC0050020102,P,4
11937,PH00200415,FP003001,P,1
11938,FP001007,FP001001010205,P,1
11939,FP001007,FP00100108,P,3
11940,FP001007,CC0030040304,M,4
11941,FP002,FP001,M,4
11942,FP001,FP002,P,4
11943,MM009001,CM001004,P,3
11944,CC00500117,CM00100513,P,4
11945,CC00500117,CM001010,P,2
11946,FA002013,FA007038,A,4
11947,CC00500117,CG005001,P,2
11948,FP001,CG005,P,2
11949,CG001,MM011,M,4
11950,CT003,MM019,M,4
11951,LP001004,MM00400101,M,2
11952,LP001007,PF001001,M,4
11953,LP001007,CC001009,M,4
11954,IT00100301,EE00100514,M,3
11955,MM001001050101,MM00100304,P,3
11956,HA00100435,MM004001010205,M,2
11957,HA001002,FA00700512,M,4
11958,HA001002,EE001006,M,2
11959,HA001002,MM018,M,2
11960,HA001002,CC001009,M,2
11961,EG002,EG001006,T,4
11962,EG003,EG001002,T,4
11963,EG004,FA006010,A,4
11964,EG004,AC003004,A,3
11965,EG004,FA0030010701,T,4
11966,EG001,EG002003,P,4
11967,AC001004,CC00100924,M,4
11968,AC001013,MM001,M,4
11969,AC001013,MM018,M,3
11970,EC0010200101,CM00100315,M,2
11971,EC0010200101,CC0010070606,M,4
11972,EC0010200101,EC0010050711,P,4
11973,MM001001050101,EC0010050703,P,3
11974,MM004002,EC001,P,4
11975,EE00101303,MM00100304,M,2
11976,EE00101303,FA00400102,M,3
11977,EE00101303,EC001016,M,2
11978,EE00101303,EC0010060101,M,2
11979,EE00101303,EC00101205,M,2
11980,EE00101303,CC0010092402,M,3
11981,EE00101303,SE002019,M,4
11982,EC001020,FA00200902,M,3
11983,EC001020,EC001019,M,3
11984,CP002,CC001009,M,4
11985,CP002,MM002,M,3
11986,CP002,MM018,M,3
11987,EC001020,CP00100902,P,2
11988,HC002006,PH00100302,M,4
11989,CC001008,HC002011,P,2
11990,MM017,HC001028,P,3
11991,FA007089,PH002009,P,3
11992,FP001007,PH002006,P,2
11993,FA007089,PH00200221,P,2
11994,FA007089,PH00200220,P,2
11995,FA007089,PH00200219,P,2
11996,FA007089,PH00200216,P,2
11997,FA007089,PH00200215,P,2
11998,FA007089,PH00200211,P,2
11999,FA007089,PH00200210,P,2
12000,FA007089,PH00200209,P,2
12001,FA007089,PH00200207,P,2
12002,FA007089,PH00200206,P,2
12003,FA007089,PH00200205,P,2
12004,FA007089,PH00200204,P,2
12005,FA007089,PH00200203,P,2
12006,FA007089,PH00200202,P,2
12007,FA007089,PH00200201,P,2
12008,FA007089,PH002002,P,3
12009,FA007089,PH0020050104,P,3
12010,FA007089,PH0020050103,P,3
12011,PH00200415,PH00200419,P,2
12012,FA007089,PH00200419,P,2
12013,FA007089,PH00200418,P,2
12014,FA007089,PH00200414,P,2
12015,FA007089,PH00200413,P,2
12016,FA007089,PH00200400501,P,1
12017,FA007089,PH00200405,P,2
12018,FA007089,PH00200403,P,2
12019,FA007089,PH00200401,P,2
12020,FA007089,PH002004,P,3
12021,FA007089,PH00200411,P,2
12022,FA007089,PH00200410,P,2
12023,FA007089,PH00200409,P,2
12024,FA007089,PH00200402,P,2
12025,CC001006,PH002003,P,3
12026,CC001007,PH002003,P,2
12027,FA007089,PH002003,P,3
12028,FA007089,PH00200107,P,2
12029,FA007089,PH00200103,P,2
12030,FA00600803,MM0180010101,M,4
12031,FA00600803,FA007040,M,2
12032,PS0020100301,FA0070300502,P,3
12033,CC001007,FA007066,P,1
12034,FA00706203,MM0180010302,M,4
12035,FA00706203,MM0180010103,M,3
12036,FA00706203,MM0040010202,M,3
12037,EC001020,FA00701019,P,2
12038,MM001001050101,FA00706508,P,3
12039,MM001001050101,FA007018,P,3
12040,EC001020,FA00706410,P,2
12041,MM001001050101,EE001001115,P,4
12042,FA002013,EG001002,P,3
12043,EG001,CM001001,M,3
12044,CC00500117,CC005004,P,2
12045,FP001,CS007,D,4
12046,ST004,RE0020010602,T,4
12047,CC00500117,HP001,P,1
12048,AC001004,CG0050011502,M,1
12049,PH00200415,CC0050019501,P,2
12050,PH00200415,CC00500195,P,3
12051,MM009001,UT005008,P,4
12052,PH0010010206,CC0010070304,M,2
12053,PH00200415,PH0010010203,P,2
12054,PH0010010205,PH00100201,M,4
12055,PH0010010205,CC00100613,M,2
12056,PH0010010205,CC0050020201,M,2
12057,PH0010010205,CC00300303,M,2
12058,PH0010010205,CC0050020101,M,2
12059,MM009001,MM00400106,P,2
12060,HC002009,CM00100303,M,4
12061,HC002009,CC00102005,M,3
12062,PH00200415,PH00300302,P,2
12063,HC002006,HC004003,P,4
12064,CS001003,FA007044010101,A,4
12065,MM009001,FA0060070104,A,2
12066,MM009001,FA00601201,A,3
12067,MM009001,FA0060120101,A,2
12068,FA006009,FA00701602,A,4
12069,FA006011,FA007062,A,4
12070,FA007089,FA0070600,A,2
12071,LP001004,EC0010011306,M,4
12072,LP001004,CS00800503,P,4
12073,PH0010010205,PH0010011802,A,4
12074,PH0010010206,PH0010011802,A,4
12075,PH0010010205,CC001007030301,M,2
12076,PH0010010205,HC00200101,F,4
12077,PH0010010206,HC00200101,F,4
12078,FP001,FN01800210,T,2
12079,FP001007,FP0010010901,P,2
12080,FP001,PS005090,T,4
12081,FP001,HA00100402,A,4
12082,FP001,FA00703701,A,4
12083,TR002,IT00100202,T,4
12084,PH0010010205,PH002004,M,4
12085,PH0010010206,PH002004,M,4
12086,FA007065,EE001001102,M,3
12087,PH00200415,PH002001,P,4
12088,PH00200415,PH002010,P,4
12089,PH00200415,PH002005,P,4
12090,PH002010,PH00200415,M,2
12091,FA007089,PH002,P,4
12092,HW001028,HW00101701,P,4
12093,ME0030030202,ME00500107,P,4
12094,ME00500107,ME0030030202,T,4
12095,FA00706102,MM0180010102,M,4
12096,FA00704101,CC001001,M,3
12097,FA00704101,CG0050011705,M,4
12098,FA00704101,CC001006140302,M,3
12099,FA00300206,CM001003,M,3
12100,FA00300206,FA00200803,M,3
12101,FA00300206,FA007021,M,2
12102,FA004003,EC00100404,M,3
12103,FA004003,EC001019,M,2
12104,FA004003,FA0040010301,M,2
12105,FA004003,FA0040011708,M,4
12106,EC001007,FA004003,P,4
12107,EC00100701,FA00400301,P,4
12108,EC00100113,HA007005,P,3
12109,HA001008,FA00200902,M,2
12110,ME005002,IT0010031102,T,4
12111,CS003,IT0010031102,T,4
12112,ME00100902,IT0010031102,T,4
12113,IT0010031102,ME005002,P,3
12114,IT0010031102,CS003,P,4
12115,IT0010031102,ME00100902,P,2
12116,IT0010031101,EE00100803,M,3
12117,IT0010031101,EE00100512,M,3
12118,IT0010031101,EE001001102,M,1
12119,IT00100306,FA00400302,M,3
12120,IT00100306,EE00100512,M,4
12121,IT00100306,FA00400301,M,3
12122,IT00100306,EE001001102,M,1
12123,UT001,IT00100306,T,4
12124,UT005008,IT00100306,T,4
12125,IT00100306,UT00500802,P,3
12126,IT00100306,UT0050080103,P,2
12127,IT00100306,UT00500804,P,3
12128,IT00100306,UT00500803,P,3
12129,IT00100306,UT0050080101,P,2
12130,IT00100306,UT0050080102,P,2
12131,IT00100306,UT001,P,4
12132,IT00100306,UT005008,P,4
12133,IT00100302,HA00700303,M,2
12134,IT00100302,EC001005070301,M,4
12135,IT00100302,ME00400106,M,3
12136,EC001005070301,IT00100302,P,4
12137,ME00400106,IT00100302,P,1
12138,CS003,IT00100302,T,4
12139,CS003002,IT00100302,T,4
12140,CS00300201,ME00400102,M,4
12141,CS003001,IT00100302,T,4
12142,PS007002,IT00100302,T,4
12143,IT00100302,CS003,P,4
12144,IT00100302,PS007002,P,2
12145,TR008,IT00100202,T,4
12146,TR002004,IT00100202,T,4
12147,TR002001,IT00100202,T,4
12148,UT005008,FA004004,A,4
12149,UT005008,FA005001,A,4
12150,CR007010,PP001004,P,4
12151,TR005,FA00300101,T,4
12152,FA00300101,TR005,P,4
12153,LP001013,CG005001,M,4
12154,FA001011,MM017,M,3
12155,FA001011,MM001,M,3
12156,FA001011,MM018,M,4
12157,LP001013,CC001008,M,3
12158,LP001013,MM001,M,2
12159,PS002,CC001009,M,1
12160,PS002,CC001012,M,2
12161,PS002,CC005001,M,3
12162,PS002,CM001001,M,3
12163,PS002,EE001,M,4
12164,PS002,FA002013,M,4
12165,FA002005,FA002008,M,4
12166,FA00300101,FA006021,A,3
12167,FA00706811,UT001003,P,4
12168,FA002005,MM001,M,3
12169,FA002005,MM018,M,3
12170,FA002005,FA00300109,P,4
12171,FA002005,FA00300101,P,4
12172,FA00300101,FA006020,A,4
12173,FP00100110,FP00100101,M,4
12174,FP00100110,FP002020,P,4
12175,FA002008,FA002005,P,4
12176,PS005,PS002,T,4
12177,PS002,PS005,P,4
12178,LP001006,MM01800103,M,4
12179,LP001006,MM0170010702,M,2
12180,PS005054,PS00201301,P,4
12181,UT005008,FA004002,A,3
12182,UT005008,UT005007,D,4
12183,IT0010031102,EE001011,M,4
12184,FA004003,IT00100310,P,4
12185,HA001008,CR003,D,3
12186,FA004003,IT00100311,P,4
12187,HW00101302,HW001025010604,M,2
12188,CS003002,ME00400102,M,4
12189,CS00300201,SS00101213,P,4
12190,CG0050011705,CC00100802,M,4
12191,HA001008,CR005,D,2
12192,UT001,FA004,A,3
12193,UT001,FA005,A,4
12194,TR008,FA006010,A,4
12195,TR002004,IT00100901,T,2
12196,TR002001,IT00100901,T,2
12197,EC00100113,HA00100431,P,4
12198,IT00100302,CS003003,P,2
12199,TR008,TR006001,T,4
12200,TR008,FA008008,P,4
12201,HA001008,ST004,D,2
12202,HA001008,CR011,D,1
12203,EC00100113,EC00100102,M,4
12204,EE001001112,EC00100601,M,2
12205,EE001001112,FA00703008,M,4
12206,EE001001112,EC00101502,M,2
12207,EE001001112,EE001006,M,4
12208,ME0030030202,ME00500101,P,4
12209,IT00100302,PS007007,P,2
12210,ME00400106,CR001007,D,4
12211,ME00500107,ME0050040201,T,4
12212,ME00400106,ME004003,T,4
12213,ME00500107,ME00500112,T,4
12214,IT00100306,UT005008015,P,2
12215,IT0010031102,WC00100203,P,4
12216,EE001001112,PS00500304,T,4
12217,SE003,CR001010,D,4
12218,TR002004,ME00100801,T,4
12219,TR002004,AC003002,A,4
12220,TR002004,AC00300301,A,4
12221,EE001001112,PS0050042403,T,4
12222,ME005002,ME00500110,P,4
12223,CG001001170102,FA00701802,A,4
12224,HA001008,EC001,M,4
12225,EC001005070301,EC0010050711,M,4
12226,EC001005070301,MM00100306,M,4
12227,EC001005070301,MM01800101020302,M,3
12228,EC00100701,CC0010092402,M,4
12229,EC001007,CC00100925,M,3
12230,EC001007,MM0020010601,M,4
12231,EC001007,MM0180010406,M,4
12232,HW00101302,CC0010092006,M,3
12233,HW001016,HW001011,M,4
12234,EC00100113,HW00100708,P,4
12235,SE003,CC001,M,4
12236,SE003,MM019,M,3
12237,SE003,MM00400109,M,3
12238,SE003,SE004,M,4
12239,SE003,EC004,M,3
12240,EC00100113,HC00100702,P,2
12241,FA00704101,FA00704106,P,4
12242,FA00704101,AC00200203,M,3
12243,FA00704101,FA00703604,A,4
12244,UT005008,FA00300104,T,4
12245,AC001004,EE00100914,M,3
12246,AC001004,CG0050011703,M,3
12247,EC00100113,AC00100906,P,2
12248,CG0050011705,AC002002010404,P,4
12249,UT005008,MM009001,M,4
12250,UT001,MM009,M,4
12251,IT00100302,CS003004,P,2
12252,EE00101303,HW001025010503,M,3
12253,HW00118,WC001,P,4
12254,HW001016,EC001,M,4
12255,FA00300206,PS00800108,T,4
12256,IT00100301,AC00300405,P,2
12257,CC001008,HC00100806,P,1
12258,FA002013,CS004006,P,3
12259,MM00900202,CC004,M,3
12260,HA001008,CC004,M,3
12261,FP002020,FA007037,A,4
12262,IT0010031101,AC005,P,4
12263,IT0010031101,EC002,P,4
12264,IT0010031101,PH002,P,4
12265,IT0010031101,FA001,P,4
12266,FA00706102,HA004001,P,4
12267,TR008,FA0070300904,M,3
12268,FA00300206,FA00300110,P,4
12269,IT00100319,IT00100310,T,4
12270,IT00100319,HW00102107,M,4
12271,CC00500117,MM00200302,M,1
12272,CC00500117,MM0020030201,M,1
12273,HA001008,SE002028,M,1
12274,HA001008,EC001004,M,1
12275,HA001008,EC00100405,M,1
12276,HA001008,EC0010040507,M,1
12277,HA001008,FA0020090209,M,2
12278,TR00800204,FN01800205,T,2
12279,UT001,UT00500803,P,3
12280,UT001,UT0050080102,P,2
12281,EC00100113,FA00400405,P,1
12282,FP00100101,FA00600905,A,4
12283,FP00100101,PS005090,T,4
12284,FP00100101,ST002001,D,4
12285,FP00100101,FN01800210,T,2
12286,FP00100101,CS007005,D,3
12287,FP00100101,CS007004,D,3
12288,FP00100101,CR004,D,3
12289,FP00100101,CR003,D,3
12290,FP00100101,ST004002,D,3
12291,IT00100301,EE001005,M,4
12292,PS00500306,FA00601102,P,4
12293,PS00500306,AC005,P,4
12294,PP001004,CS004013,P,4
12295,UT005008,PS002014,T,4
12296,EE00101303,EC001,M,4
12297,EE001001112,EC001,M,3
12298,EE00101303,FA007040,M,3
12299,IT00100301,HW001025010601,M,4
12300,UT001,UT00500802,P,4
12301,CG001,CG00500113,M,2
12302,PP001004,CG0050011502,M,2
12303,SE003,EC001,M,4
12304,SE003,EC00100601,M,2
12305,SE003,EC001019,M,2
12306,SE003,EC001016,M,1
12307,SE003,EC0010060101,M,1
12308,SE003,EC00101903,M,1
12309,CC001006,PH00200501,P,1
12310,CC001007,PH00200501,P,1
12311,CC001007,PH002011,P,1
12312,IT00100319,HW00101701,T,4
12313,HW00118,HW00101701,P,4
12314,HW00102203,HW00101701,P,4
12315,HW001016,HW00101701,P,4
12316,FA00300206,FN01800203,T,2
12317,CR003,HA001002,P,3
12318,HA001005,HA001002,P,4
12319,PS00500308,HA001002,P,3
12320,PS004,PF002001,M,4
12321,FP002008,FP002020,P,4
12322,MM002,SE002,P,4
12323,SE001,SE002,P,4
12324,HA001005,HA00100418,P,4
12325,FP002008,PH002005,M,3
12326,PH002005,FP002008,P,4
12327,FP002008,ST003002,D,4
12328,FP002008,FP001008,M,4
12329,FP002008,ST002002,D,4
12330,CG005004,FP0010010901,M,4
12331,FP002008,HC002011,P,1
12332,CG005005,ST004,D,3
12333,FA004004,FA004002,M,3
12334,FA004002,FA004004,P,3
12335,FA004004,MM002,M,3
12336,MM002,FA004004,P,4
12337,FA004004,MM018,M,3
12338,FA004004,UT005008,P,4
12339,FA004001,CC001009,M,3
12340,FA004001,FA004002,M,2
12341,FA004002,FA004001,P,3
12342,FA004001,MM002,M,3
12343,MM002,FA004001,P,4
12344,FA004001,MM018,M,3
12345,FA005001,UT005008,P,4
12346,FA005002,FA004001,M,4
12347,FA005002,FA004002,M,3
12348,EE001,CC001012,M,3
12349,EE001,EC001,M,4
12350,EE001,MM001,M,3
12351,EE001,MM018,M,3
12352,EE001,FA0030010701,P,2
12353,HA001004,CC001009,M,2
12354,HA001004,CR003,D,3
12355,CR003,HA001004,P,3
12356,HA001004,CR005,D,2
12357,HA001004,HA001005,M,4
12358,HA001005,HA001004,P,4
12359,HA001004,MM018,M,2
12360,HC001009,HC001005,M,4
12361,HC001009,MM001,M,3
12362,HC001009,MM018,M,4
12363,FA005001,FA004001,M,4
12364,MM002,EC001,P,4
12365,FP00100107,FP001007,M,4
12366,HC001004,EC001,M,4
12367,HA007003,EC001,M,3
12368,HC001013,EC001,M,4
12369,HC001013,HC001005,M,4
12370,CR001013,CG001,P,4
12371,MM00400208,FA00800802,D,4
12372,MM008,CG00100305,P,3
12373,CG005005,FA007018,A,4
12374,FA007018,CG005005,P,4
12375,CG005005,CC001008,M,3
12376,CG005005,CR001013,D,4
12377,CR001013,CG005005,P,4
12378,CG005005,CG005001,M,4
12379,CG005001,CG005005,P,4
12380,CG005005,CG005004,M,3
12381,CG005004,CG005005,P,4
12382,CG005005,FA008010,D,4
12383,CG003,PS005019,T,4
12384,PS005019,CG003,P,4
12385,CG003,CC0010092407,M,4
12386,CG003,CR005,D,2
12387,CG003,CR001006,D,4
12388,CG003,CR007005,D,4
12389,MM004003,MM004002,P,4
12390,CR003,PP001004,P,3
12391,CR004,PP001004,P,3
12392,FP00100107,CC003003,M,4
12393,FP00100107,CC003004,M,2
12394,FP00100107,BE002,P,4
12395,EE001,PS002,P,2
12396,HC001013,PF001001,M,2
12397,MM008,FA0080080901,D,4
12398,MM008,MM004003,T,4
12399,FA004001,UT001003,P,4
12400,FA004002,UT001003,P,4
12401,FA004001,UT001004,P,4
12402,FA004002,UT001004,P,4
12403,HA001005,CC001009,M,3
12404,HA001005,MM001,M,3
12405,HA001005,MM018,M,4
12406,MM004003,FA007064,A,4
12407,MM004003,MM017,P,3
12408,MM004003,MM002,P,3
12409,MM004003,FA006020,A,4
12410,MM004003,MM001,P,3
12411,PS008003,SS00101206,T,4
12412,PS008003,IT00201,T,4
12413,SS00101206,PS008003,P,4
12414,FA007064,FA007066,M,2
12415,FA007064,MM018,M,4
12416,FA007064,FA00300109,P,4
12417,MM002,MM004003,T,4
12418,CG005001,CC001008,M,4
12419,CG005001,CC00500117,M,3
12420,CG005001,HA004001,P,2
12421,CG005001,LP001004,P,2
12422,CG005005,CS001003,P,2
12423,FA004002,UT005008,P,4
12424,CG005001,LP001013,P,1
12425,MM002,FA0080080902,D,4
12426,FA005001,FA007065,A,4
12427,HC001004,HC001005,M,4
12428,CR003,HA001008,P,3
12429,CG005005,CR003,D,3
